"m.id";"o.id";"n.year_of_publication";"n.Erscheinungsort";"n.controversy";"n.type"
"02-0755";"02-0879";1562;"Eisleben";"Allgemeiner Druck";"co-authors"
"02-0717";"02-0946";1572;"Eisleben";"Erbsündenstreit";"co-authors"
"02-0749";"02-0946";1572;"Eisleben";"Erbsündenstreit";"co-authors"
"02-0097";"02-0946";1572;"Eisleben";"Erbsündenstreit";"co-authors"
"02-0658";"02-1002";1580;"Eisleben";"Erbsündenstreit";"co-authors"
"02-0835";"02-0784";1552;"Erfurt";"Osiandrischer Streit";"co-authors"
"02-0852";"02-0784";1552;"Erfurt";"Osiandrischer Streit";"co-authors"
"02-0851";"02-0789";1561;"Erfurt";"Abendmahlslehre und Christologie";"co-authors"
"02-0784";"02-0835";1552;"Erfurt";"Osiandrischer Streit";"co-authors"
"02-0852";"02-0835";1552;"Erfurt";"Osiandrischer Streit";"co-authors"
"02-0789";"02-0851";1561;"Erfurt";"Abendmahlslehre und Christologie";"co-authors"
"02-0784";"02-0852";1552;"Erfurt";"Osiandrischer Streit";"co-authors"
"02-0835";"02-0852";1552;"Erfurt";"Osiandrischer Streit";"co-authors"
"02-0835";"02-0238";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0735";"02-0238";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0673";"02-0238";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0663";"02-0238";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0673";"02-0238";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0663";"02-0238";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0735";"02-0238";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0879";"02-0646";1557;"Frankfurt a.M.";"Majoristischer Streit";"co-authors"
"02-0835";"02-0663";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0735";"02-0663";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0673";"02-0663";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0238";"02-0663";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0673";"02-0663";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0238";"02-0663";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0735";"02-0663";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0835";"02-0673";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0735";"02-0673";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0663";"02-0673";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0238";"02-0673";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0663";"02-0673";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0238";"02-0673";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0735";"02-0673";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0835";"02-0735";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0673";"02-0735";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0663";"02-0735";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0238";"02-0735";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0673";"02-0735";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0663";"02-0735";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0238";"02-0735";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0879";"02-0755";1564;"Frankfurt a.M.";"Allgemeiner Druck";"co-authors"
"02-0735";"02-0835";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0673";"02-0835";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0663";"02-0835";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0238";"02-0835";1561;"Frankfurt a.M.";"Obrigkeitliche Dokumente";"co-authors"
"02-0879";"02-0876";1568;"Frankfurt a.M.";"Majoristischer Streit";"co-authors"
"02-0755";"02-0879";1564;"Frankfurt a.M.";"Allgemeiner Druck";"co-authors"
"02-0646";"02-0879";1557;"Frankfurt a.M.";"Majoristischer Streit";"co-authors"
"02-0876";"02-0879";1568;"Frankfurt a.M.";"Majoristischer Streit";"co-authors"
"02-0879";"02-0755";1564;"Frankfurt a.M.";"Magdeburger Streit";"co-authors"
"02-0879";"02-0755";1564;"Frankfurt a.M.";"Magdeburger Streit";"co-authors"
"02-0755";"02-0879";1564;"Frankfurt a.M.";"Magdeburger Streit";"co-authors"
"02-0755";"02-0879";1564;"Frankfurt a.M.";"Magdeburger Streit";"co-authors"
"02-0736";"02-0023";1573;"Frankfurt an der Oder";"Abendmahlslehre und Christologie";"co-authors"
"02-0024";"02-0023";1573;"Frankfurt an der Oder";"Abendmahlslehre und Christologie";"co-authors"
"02-0793";"02-0023";1573;"Frankfurt an der Oder";"Abendmahlslehre und Christologie";"co-authors"
"02-0941";"02-0023";1573;"Frankfurt an der Oder";"Abendmahlslehre und Christologie";"co-authors"
"02-0736";"02-0024";1573;"Frankfurt an der Oder";"Abendmahlslehre und Christologie";"co-authors"
"02-0023";"02-0024";1573;"Frankfurt an der Oder";"Abendmahlslehre und Christologie";"co-authors"
"02-0793";"02-0024";1573;"Frankfurt an der Oder";"Abendmahlslehre und Christologie";"co-authors"
"02-0941";"02-0024";1573;"Frankfurt an der Oder";"Abendmahlslehre und Christologie";"co-authors"
"02-0023";"02-0736";1573;"Frankfurt an der Oder";"Abendmahlslehre und Christologie";"co-authors"
"02-0024";"02-0736";1573;"Frankfurt an der Oder";"Abendmahlslehre und Christologie";"co-authors"
"02-0793";"02-0736";1573;"Frankfurt an der Oder";"Abendmahlslehre und Christologie";"co-authors"
"02-0941";"02-0736";1573;"Frankfurt an der Oder";"Abendmahlslehre und Christologie";"co-authors"
"02-0736";"02-0793";1573;"Frankfurt an der Oder";"Abendmahlslehre und Christologie";"co-authors"
"02-0023";"02-0793";1573;"Frankfurt an der Oder";"Abendmahlslehre und Christologie";"co-authors"
"02-0024";"02-0793";1573;"Frankfurt an der Oder";"Abendmahlslehre und Christologie";"co-authors"
"02-0941";"02-0793";1573;"Frankfurt an der Oder";"Abendmahlslehre und Christologie";"co-authors"
"02-1029";"02-0820";1562;"Frankfurt an der Oder";"Majoristischer Streit";"co-authors"
"02-0736";"02-0941";1573;"Frankfurt an der Oder";"Abendmahlslehre und Christologie";"co-authors"
"02-0023";"02-0941";1573;"Frankfurt an der Oder";"Abendmahlslehre und Christologie";"co-authors"
"02-0024";"02-0941";1573;"Frankfurt an der Oder";"Abendmahlslehre und Christologie";"co-authors"
"02-0793";"02-0941";1573;"Frankfurt an der Oder";"Abendmahlslehre und Christologie";"co-authors"
"02-0820";"02-1029";1562;"Frankfurt an der Oder";"Majoristischer Streit";"co-authors"
"02-0795";"02-0679";1557;"Hamburg";"allgemeiner Druck";"co-authors"
"02-0679";"02-0795";1557;"Hamburg";"allgemeiner Druck";"co-authors"
"02-0782";"02-0239";1573;"Heidelberg";"Abendmahlslehre und Christologie";"co-authors"
"02-0706";"02-0673";1576;"Heidelberg";"Abendmahlslehre und Christologie";"co-authors"
"02-0673";"02-0706";1576;"Heidelberg";"Abendmahlslehre und Christologie";"co-authors"
"02-0239";"02-0782";1573;"Heidelberg";"Abendmahlslehre und Christologie";"co-authors"
"02-0862";"02-0798";1563;"Heidelberg";"obrigkeitliche Dokumente";"co-authors"
"02-0862";"02-0798";1563;"Heidelberg";"Abendmahlslehre und Christologie";"co-authors"
"02-0798";"02-0862";1563;"Heidelberg";"obrigkeitliche Dokumente";"co-authors"
"02-0798";"02-0862";1563;"Heidelberg";"Abendmahlslehre und Christologie";"co-authors"
"02-0716";"02-0654";1558;"Jena";"allgemeiner Druck / Synergistischer Streit";"co-authors"
"02-0802";"02-0654";1558;"Jena";"Adiaphoristischer/Majoristischer Streit";"co-authors"
"02-0741";"02-0685";1571;"Jena";"Erbsündenstreit";"co-authors"
"02-0879";"02-0685";1571;"Jena";"Erbsündenstreit";"co-authors"
"02-0789";"02-0685";1571;"Jena";"Erbsündenstreit";"co-authors"
"02-0851";"02-0706";1564;"Jena";"Allgemeiner Druck";"co-authors"
"02-0878";"02-0706";1564;"Jena";"Allgemeiner Druck";"co-authors"
"02-0845";"02-0716";1571;"Jena";"Erbsündenstreit";"co-authors"
"02-0654";"02-0716";1558;"Jena";"allgemeiner Druck / Synergistischer Streit";"co-authors"
"02-0755";"02-0716";1560;"Jena";"Allgemeiner Druck";"co-authors"
"02-0879";"02-0716";1560;"Jena";"Allgemeiner Druck";"co-authors"
"02-0879";"02-0741";1570;"Jena";"Antinomistischer Streit";"co-authors"
"02-0685";"02-0741";1571;"Jena";"Erbsündenstreit";"co-authors"
"02-0879";"02-0741";1571;"Jena";"Erbsündenstreit";"co-authors"
"02-0789";"02-0741";1571;"Jena";"Erbsündenstreit";"co-authors"
"02-0879";"02-0755";1559;"Jena";"Adiaphoristischer Streit";"co-authors"
"02-0716";"02-0755";1560;"Jena";"Allgemeiner Druck";"co-authors"
"02-0879";"02-0755";1560;"Jena";"Allgemeiner Druck";"co-authors"
"02-0741";"02-0789";1571;"Jena";"Erbsündenstreit";"co-authors"
"02-0685";"02-0789";1571;"Jena";"Erbsündenstreit";"co-authors"
"02-0879";"02-0789";1571;"Jena";"Erbsündenstreit";"co-authors"
"02-0654";"02-0802";1558;"Jena";"Adiaphoristischer/Majoristischer Streit";"co-authors"
"02-0716";"02-0845";1571;"Jena";"Erbsündenstreit";"co-authors"
"02-0706";"02-0851";1564;"Jena";"Allgemeiner Druck";"co-authors"
"02-0878";"02-0851";1564;"Jena";"Allgemeiner Druck";"co-authors"
"02-0706";"02-0878";1564;"Jena";"Allgemeiner Druck";"co-authors"
"02-0851";"02-0878";1564;"Jena";"Allgemeiner Druck";"co-authors"
"02-0741";"02-0879";1570;"Jena";"Antinomistischer Streit";"co-authors"
"02-0716";"02-0879";1560;"Jena";"Allgemeiner Druck";"co-authors"
"02-0755";"02-0879";1560;"Jena";"Allgemeiner Druck";"co-authors"
"02-0755";"02-0879";1559;"Jena";"Adiaphoristischer Streit";"co-authors"
"02-0741";"02-0879";1571;"Jena";"Erbsündenstreit";"co-authors"
"02-0685";"02-0879";1571;"Jena";"Erbsündenstreit";"co-authors"
"02-0789";"02-0879";1571;"Jena";"Erbsündenstreit";"co-authors"
"02-0734";"02-0022";1576;"s.l.";"Erbsündenstreit";"co-authors"
"02-0946";"02-0097";1572;"s.l.";"Erbsündenstreit";"co-authors"
"02-0749";"02-0097";1572;"s.l.";"Erbsündenstreit";"co-authors"
"02-0717";"02-0097";1572;"s.l.";"Erbsündenstreit";"co-authors"
"02-0833";"02-0102";1568;"s.l.";"Abendmahlslehre und Christologie";"co-authors"
"02-0741";"02-0707";1563;"s.l.";"Magdeburger Streit";"co-authors"
"02-0721";"02-0716";1567;"s.l.";"Allgemeiner Druck";"co-authors"
"02-0807";"02-0716";1574;"s.l.";"Erbsündenstreit";"co-authors"
"02-0755";"02-0716";1562;"s.l.";"Synergistischer Streit";"co-authors"
"02-0722";"02-0716";1562;"s.l.";"Synergistischer Streit";"co-authors"
"02-0879";"02-0716";1562;"s.l.";"Synergistischer Streit";"co-authors"
"02-0722";"02-0716";1562;"s.l.";"Synergistischer Streit";"co-authors"
"02-0722";"02-0716";1568;"s.l.";"Majoristischer Streit";"co-authors"
"02-0097";"02-0717";1572;"s.l.";"Erbsündenstreit";"co-authors"
"02-0946";"02-0717";1572;"s.l.";"Erbsündenstreit";"co-authors"
"02-0749";"02-0717";1572;"s.l.";"Erbsündenstreit";"co-authors"
"02-0716";"02-0721";1567;"s.l.";"Allgemeiner Druck";"co-authors"
"02-0716";"02-0722";1562;"s.l.";"Synergistischer Streit";"co-authors"
"02-0755";"02-0722";1562;"s.l.";"Synergistischer Streit";"co-authors"
"02-0879";"02-0722";1562;"s.l.";"Synergistischer Streit";"co-authors"
"02-0716";"02-0722";1562;"s.l.";"Synergistischer Streit";"co-authors"
"02-0716";"02-0722";1568;"s.l.";"Majoristischer Streit";"co-authors"
"02-0793";"02-0733";1562;"s.l.";"Abendmahlslehre und Christologie";"co-authors"
"02-0022";"02-0734";1576;"s.l.";"Erbsündenstreit";"co-authors"
"02-0707";"02-0741";1563;"s.l.";"Magdeburger Streit";"co-authors"
"02-0097";"02-0749";1572;"s.l.";"Erbsündenstreit";"co-authors"
"02-0946";"02-0749";1572;"s.l.";"Erbsündenstreit";"co-authors"
"02-0717";"02-0749";1572;"s.l.";"Erbsündenstreit";"co-authors"
"02-0716";"02-0755";1562;"s.l.";"Synergistischer Streit";"co-authors"
"02-0722";"02-0755";1562;"s.l.";"Synergistischer Streit";"co-authors"
"02-0879";"02-0755";1562;"s.l.";"Synergistischer Streit";"co-authors"
"02-0848";"02-0782";1557;"s.l.";"Wormser Gespräch";"co-authors"
"02-0733";"02-0793";1562;"s.l.";"Abendmahlslehre und Christologie";"co-authors"
"02-0716";"02-0807";1574;"s.l.";"Erbsündenstreit";"co-authors"
"02-0102";"02-0833";1568;"s.l.";"Abendmahlslehre und Christologie";"co-authors"
"02-0782";"02-0848";1557;"s.l.";"Wormser Gespräch";"co-authors"
"02-0716";"02-0879";1562;"s.l.";"Synergistischer Streit";"co-authors"
"02-0755";"02-0879";1562;"s.l.";"Synergistischer Streit";"co-authors"
"02-0722";"02-0879";1562;"s.l.";"Synergistischer Streit";"co-authors"
"02-0097";"02-0946";1572;"s.l.";"Erbsündenstreit";"co-authors"
"02-0749";"02-0946";1572;"s.l.";"Erbsündenstreit";"co-authors"
"02-0717";"02-0946";1572;"s.l.";"Erbsündenstreit";"co-authors"
"02-0800";"02-0652";1551;"Königsberg";"Osiandrischer Streit/Widerstand gegen das Augsburger Interim";"co-authors"
"02-0919";"02-0652";1551;"Königsberg";"Osiandrischer Streit/Widerstand gegen das Augsburger Interim";"co-authors"
"02-0835";"02-0680";1575;"Königsberg";"Majoristischer Streit";"co-authors"
"02-0789";"02-0685";1567;"Königsberg";"Allgemeiner Druck / Obrigkeitliche Dokumente / Osiandrischer Streit";"co-authors"
"02-0789";"02-0741";1575;"Königsberg";"Abendmahlslehre und Christologie";"co-authors"
"02-0928";"02-0789";1552;"Königsberg";"Osiandrischer Streit";"co-authors"
"02-0865";"02-0789";1552;"Königsberg";"Osiandrischer Streit";"co-authors"
"02-0741";"02-0789";1575;"Königsberg";"Abendmahlslehre und Christologie";"co-authors"
"02-0685";"02-0789";1567;"Königsberg";"Allgemeiner Druck / Obrigkeitliche Dokumente / Osiandrischer Streit";"co-authors"
"02-0652";"02-0800";1551;"Königsberg";"Osiandrischer Streit/Widerstand gegen das Augsburger Interim";"co-authors"
"02-0919";"02-0800";1551;"Königsberg";"Osiandrischer Streit/Widerstand gegen das Augsburger Interim";"co-authors"
"02-0680";"02-0835";1575;"Königsberg";"Majoristischer Streit";"co-authors"
"02-0928";"02-0865";1552;"Königsberg";"Osiandrischer Streit";"co-authors"
"02-0789";"02-0865";1552;"Königsberg";"Osiandrischer Streit";"co-authors"
"02-1029";"02-0879";1575;"Königsberg";"Abendmahlslehre und Christologie; Luther";"co-authors"
"02-0652";"02-0919";1551;"Königsberg";"Osiandrischer Streit/Widerstand gegen das Augsburger Interim";"co-authors"
"02-0800";"02-0919";1551;"Königsberg";"Osiandrischer Streit/Widerstand gegen das Augsburger Interim";"co-authors"
"02-0865";"02-0928";1552;"Königsberg";"Osiandrischer Streit";"co-authors"
"02-0789";"02-0928";1552;"Königsberg";"Osiandrischer Streit";"co-authors"
"02-0879";"02-1029";1575;"Königsberg";"Abendmahlslehre und Christologie; Luther";"co-authors"
"02-0820";"02-0716";1561;"Leipzig";"Synergistischer Streit";"co-authors"
"02-0841";"02-0732";1578;"Leipzig";"Abendmahlslehre und Christologie";"co-authors"
"02-0841";"02-0732";1577;"Leipzig";"Abendmahlslehre und Christologie";"co-authors"
"02-0809";"02-0782";1571;"Leipzig";"Abendmahlslehre und Christologie";"co-authors"
"02-0782";"02-0809";1571;"Leipzig";"Abendmahlslehre und Christologie";"co-authors"
"02-0716";"02-0820";1561;"Leipzig";"Synergistischer Streit";"co-authors"
"02-0732";"02-0841";1578;"Leipzig";"Abendmahlslehre und Christologie";"co-authors"
"02-0732";"02-0841";1577;"Leipzig";"Abendmahlslehre und Christologie";"co-authors"
"02-0681";"02-0678";1552;"London";"Abendmahlslehre und Christologie";"co-authors"
"02-0766";"02-0678";1552;"London";"Abendmahlslehre und Christologie";"co-authors"
"02-0766";"02-0681";1552;"London";"Abendmahlslehre und Christologie";"co-authors"
"02-0678";"02-0681";1552;"London";"Abendmahlslehre und Christologie";"co-authors"
"02-0681";"02-0766";1552;"London";"Abendmahlslehre und Christologie";"co-authors"
"02-0678";"02-0766";1552;"London";"Abendmahlslehre und Christologie";"co-authors"
"02-0917";"02-0194";1548;"Magdeburg";"Widerstand gegen das Augsburger Interim";"co-authors"
"02-0920";"02-0315";1550;"Magdeburg";"Antikatholisch / Adiaphoristischer Streit";"co-authors"
"02-0915";"02-0580";1550;"Magdeburg";"Antikatholisch / Adiaphoristischer Streit";"co-authors"
"02-0916";"02-0580";1550;"Magdeburg";"Antikatholisch / Adiaphoristischer Streit";"co-authors"
"02-1029";"02-0580";1550;"Magdeburg";"Abendmahlslehre und Christologie";"co-authors"
"02-0716";"02-0646";1554;"Magdeburg";"Majoristischer Streit";"co-authors"
"02-0716";"02-0646";1549;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0721";"02-0654";1551;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0716";"02-0654";1551;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-1029";"02-0673";1554;"Magdeburg";"Allgemeiner Druck";"co-authors"
"02-0800";"02-0673";1548;"Magdeburg";"Widerstand gegen das Augsburger Interim";"co-authors"
"02-0800";"02-0673";1553;"Magdeburg";"Osiandrischer Streit";"co-authors"
"02-1029";"02-0676";1549;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-1029";"02-0716";1551;"Magdeburg";"Widerstand gegen das Augsburger Interim / Antikatholisch";"co-authors"
"02-0646";"02-0716";1554;"Magdeburg";"Majoristischer Streit";"co-authors"
"02-0721";"02-0716";1552;"Magdeburg";"Osiandrischer Streit";"co-authors"
"02-0722";"02-0716";1552;"Magdeburg";"Osiandrischer Streit";"co-authors"
"02-0654";"02-0716";1551;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0721";"02-0716";1551;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0721";"02-0716";1552;"Magdeburg";"Osiandrischer Streit";"co-authors"
"02-1029";"02-0716";1552;"Magdeburg";"Osiandrischer Streit";"co-authors"
"02-0722";"02-0716";1550;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0751";"02-0716";1556;"Magdeburg";"Osiandrischer Streit";"co-authors"
"02-1029";"02-0716";1550;"Magdeburg";"Antikatholisch / Adiaphoristischer Streit";"co-authors"
"02-0722";"02-0716";1550;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0722";"02-0716";1550;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0646";"02-0716";1549;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0789";"02-0716";1557;"Magdeburg";"Osiandrischer Streit";"co-authors"
"02-0936";"02-0716";1555;"Magdeburg";"Schwenckfeld";"co-authors"
"02-0722";"02-0716";1553;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0722";"02-0716";1550;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0716";"02-0721";1552;"Magdeburg";"Osiandrischer Streit";"co-authors"
"02-0654";"02-0721";1551;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0716";"02-0721";1551;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0716";"02-0721";1552;"Magdeburg";"Osiandrischer Streit";"co-authors"
"02-0716";"02-0722";1552;"Magdeburg";"Osiandrischer Streit";"co-authors"
"02-0716";"02-0722";1550;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0716";"02-0722";1550;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0716";"02-0722";1550;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0716";"02-0722";1553;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0716";"02-0722";1550;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0782";"02-0741";1561;"Magdeburg";"Abendmahlslehre und Christologie";"co-authors"
"02-0716";"02-0751";1556;"Magdeburg";"Osiandrischer Streit";"co-authors"
"02-0879";"02-0755";1559;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0879";"02-0755";1562;"Magdeburg";"Synergistischer Streit";"co-authors"
"02-0879";"02-0755";1559;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0802";"02-0782";1548;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0741";"02-0782";1561;"Magdeburg";"Abendmahlslehre und Christologie";"co-authors"
"02-0716";"02-0789";1557;"Magdeburg";"Osiandrischer Streit";"co-authors"
"02-1029";"02-0789";1560;"Magdeburg";"Abendmahlslehre und Christologie";"co-authors"
"02-0673";"02-0800";1548;"Magdeburg";"Widerstand gegen das Augsburger Interim";"co-authors"
"02-0673";"02-0800";1553;"Magdeburg";"Osiandrischer Streit";"co-authors"
"02-0782";"02-0802";1548;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0755";"02-0879";1559;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0755";"02-0879";1562;"Magdeburg";"Synergistischer Streit";"co-authors"
"02-0755";"02-0879";1559;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0580";"02-0915";1550;"Magdeburg";"Antikatholisch / Adiaphoristischer Streit";"co-authors"
"02-0916";"02-0915";1550;"Magdeburg";"Antikatholisch / Adiaphoristischer Streit";"co-authors"
"02-0580";"02-0916";1550;"Magdeburg";"Antikatholisch / Adiaphoristischer Streit";"co-authors"
"02-0915";"02-0916";1550;"Magdeburg";"Antikatholisch / Adiaphoristischer Streit";"co-authors"
"02-0194";"02-0917";1548;"Magdeburg";"Widerstand gegen das Augsburger Interim";"co-authors"
"02-0315";"02-0920";1550;"Magdeburg";"Antikatholisch / Adiaphoristischer Streit";"co-authors"
"02-0716";"02-0936";1555;"Magdeburg";"Schwenckfeld";"co-authors"
"02-0673";"02-1029";1554;"Magdeburg";"Allgemeiner Druck";"co-authors"
"02-0716";"02-1029";1551;"Magdeburg";"Widerstand gegen das Augsburger Interim / Antikatholisch";"co-authors"
"02-0716";"02-1029";1552;"Magdeburg";"Osiandrischer Streit";"co-authors"
"02-0676";"02-1029";1549;"Magdeburg";"Adiaphoristischer Streit";"co-authors"
"02-0716";"02-1029";1550;"Magdeburg";"Antikatholisch / Adiaphoristischer Streit";"co-authors"
"02-0580";"02-1029";1550;"Magdeburg";"Abendmahlslehre und Christologie";"co-authors"
"02-0789";"02-1029";1560;"Magdeburg";"Abendmahlslehre und Christologie";"co-authors"
"02-0934";"02-0811";1555;"Mainz";"Adiaphoristischer Streit";"co-authors"
"02-0811";"02-0934";1555;"Mainz";"Adiaphoristischer Streit";"co-authors"
"02-0840";"02-0733";1564;"Mühlhausen/Elsaß";"Abendmahlslehre und Christologie";"co-authors"
"02-0733";"02-0840";1564;"Mühlhausen/Elsaß";"Abendmahlslehre und Christologie";"co-authors"
"02-0755";"02-0716";1562;"Mühlhausen/Elsaß";"Majoristischer Streit";"co-authors"
"02-0879";"02-0716";1562;"Mühlhausen/Elsaß";"Majoristischer Streit";"co-authors"
"02-0791";"02-0716";1562;"Mühlhausen/Elsaß";"Majoristischer Streit";"co-authors"
"02-0879";"02-0755";1562;"Mühlhausen/Elsaß";"Abendmahlslehre und Christologie / allgemeiner Druck";"co-authors"
"02-0716";"02-0755";1562;"Mühlhausen/Elsaß";"Majoristischer Streit";"co-authors"
