n.id,n.format,n.vd16_number,n.controversy,n.Erscheinungsort,n.year_of_publication
01-0835,4°,B 1520,Allgemeiner Druck,Eisleben,1560
01-1532,4°,I 301,allgemeiner Druck,Eisleben,1562
01-1533,4°,I 301,Allgemeiner Druck,Eisleben,1562
01-1597,4°,I 298,allgemeiner Druck,Eisleben,1572
01-1612,4°,C 4823,Allgemeiner Druck,Eisleben,1565
01-1697,4°,K 2330,Allgemeiner Druck,Eisleben,1562
01-1700,4°,K 1984,Allgemeiner Druck,Eisleben,1567
01-1734,4°,G 2569,Allgemeiner Druck,Eisleben,1565
01-1782,4°,B 1521,Allgemeiner Druck,Eisleben,1560
01-1913,4°,ZV 17823,Allgemeiner Druck,Eisleben,1562
01-1936,4°,A 2415,Allgemeiner Druck,Eisleben,1564
01-0853,4°,P 4794,Allgemeiner Druck / Obrigkeitliche Dokumente / Osiandrischer Streit,Eisleben,1567
01-0583,4°,T 1590,Antikatholisch,Eisleben,1562
01-0584,4°,S 7728,Antikatholisch,Eisleben,1562
01-1844,4°,S 7733,Antikatholisch,Eisleben,1562
01-0129,8°,F 261,Antinomistischer Streit,Eisleben,1569
01-1496,8°,F 274,Antinomistischer Streit,Eisleben,1569
01-1841,8°,ZV 5703,Antinomistischer Streit,Eisleben,1569
01-0235,4°,H 3013,Diskussion FC,Eisleben,1578
01-0260,8°,S 4377,Diskussion FC,Eisleben,1579
01-0036,4°,S 7573,Erbsündenstreit,Eisleben,1572
01-0037,4°,P 4685,Erbsündenstreit,Eisleben,1572
01-0041,8°,B 1570,Erbsündenstreit,Eisleben,1572
01-0044,4°,L 3524,Erbsündenstreit,Eisleben,1572
01-0053,4°,H 4237,Erbsündenstreit,Eisleben,1578
01-0061,4°,S 7484,Erbsündenstreit,Eisleben,1572
01-0066,4°,B 1830,Erbsündenstreit,Eisleben,1573
01-0069,4°,L 3529,Erbsündenstreit,Eisleben,1573
01-0070,4°,V 2403,Erbsündenstreit,Eisleben,1573
01-0089,4°,H 4829,Erbsündenstreit,Eisleben,1574
01-0164,4°,F 275,Erbsündenstreit,Eisleben,1570
01-0190,4°,S 7556,Erbsündenstreit,Eisleben,1575
01-0191,4°,M 4731,Erbsündenstreit,Eisleben,1575
01-0201,4°,D 2684,Erbsündenstreit,Eisleben,1576
01-0223,4°,S 7664,Erbsündenstreit,Eisleben,1577
01-0232,4°,S 7560,Erbsündenstreit,Eisleben,1572
01-0238,4°,S 7646,Erbsündenstreit,Eisleben,1578
01-0239,4°,S 7477,Erbsündenstreit,Eisleben,1578
01-0240,4°,ZV 11688,Erbsündenstreit,Eisleben,1578
01-0248,4°,S 7586,Erbsündenstreit,Eisleben,1578
01-0253,4°,S 7715,Erbsündenstreit,Eisleben,1578
01-0383,4°,ZV 5908,Erbsündenstreit,Eisleben,1572
01-0387,4°,P 7429,Erbsündenstreit,Eisleben,1572
01-0401,4°,H 4830,Erbsündenstreit,Eisleben,1573
01-0857,4°,S 7641,Erbsündenstreit,Eisleben,1577
01-1221,4°,G 3705,Erbsündenstreit,Eisleben,1573
01-1332,4°,F 1441,Erbsündenstreit,Eisleben,1570
01-1333,4°,S 7479,Erbsündenstreit,Eisleben,1572
01-1557,4°,M 4707,Erbsündenstreit,Eisleben,1575
01-1578,4°,F 108,Erbsündenstreit,Eisleben,1574
01-1579,4°,H 2224,Erbsündenstreit,Eisleben,1580
01-1580,4°,F 276,Erbsündenstreit,Eisleben,1574
01-1582,4°,H 765,Erbsündenstreit,Eisleben,1574
01-1583,4°,F 266,Erbsündenstreit,Eisleben,1574
01-1584,4°,M 4760,Erbsündenstreit,Eisleben,1575
01-1585,4°,P 4697,Erbsündenstreit,Eisleben,1573
01-1587,4°,G 3704,Erbsündenstreit,Eisleben,1573
01-1592,4°,W 2904,Erbsündenstreit,Eisleben,1573
01-1593,4°,M 4724,Erbsündenstreit,Eisleben,1574
01-1620,4°,S 7558,Erbsündenstreit,Eisleben,1573
01-1643,4°,S 7559,Erbsündenstreit,Eisleben,1572
01-1857,4°,ZV 18487,Erbsündenstreit,Eisleben,1572
01-1864,4°,P 1759,Erbsündenstreit,Eisleben,1572
01-2017,8,S 7540,Erbsündenstreit,Eisleben,1562
01-2034,4°,B 2472,Erbsündenstreit,Eisleben,1574
01-2061,4°,G 1592,Erbsündenstreit / allgemeiner Druck,Eisleben,1575
01-1745,8°,F 258,k. A.,Eisleben,1570
01-1708,4°,M 5889,Magdeburger Streit,Eisleben,1565
01-0114,k. A.,W 706,Majoristischer Streit,Eisleben,1568
01-0121,4°,C 2391,Majoristischer Streit,Eisleben,1568
01-0526,4°,W 881,Majoristischer Streit,Eisleben,1564
01-0625,4°,M 5887,Majoristischer Streit,Eisleben,1562
01-0677,4°,A 151,Majoristischer Streit,Eisleben,1554
01-0804,4°,N 1888,Majoristischer Streit,Eisleben,1559
01-0775,4°,K 2209,Majoristischer Streit / Antinomistischer Streit,Eisleben,1558
01-1466,4°,T 145,obrigkeitliche Dokumente,Eisleben,1566
01-0111,8°,S 7482,Prädestinatianischer Streit,Eisleben,1568
01-1550,8°,S 7483,Prädestinatianischer Streit,Eisleben,1568
01-1568,8°,S 7654,Prädestinatianischer Streit,Eisleben,1568
01-0153,4°,K 2611,Prädestinatianischer Streit u.a.,Eisleben,1570
01-1717,4°,K 2612,Prädestinatianischer Streit u.a.,Eisleben,1570
01-0801,8°,S 7568,Schwenckfeld,Eisleben,1559
01-0286,8°,W 2261,Synergistischer Streit,Eisleben,1566
01-0287,8°,R 1194,Synergistischer Streit,Eisleben,1566
01-0294,4°,R 1192,Synergistischer Streit,Eisleben,1567
01-0527,4°,A 2409,Synergistischer Streit,Eisleben,1564
01-0536,4°,L 3509,Synergistischer Streit,Eisleben,1565
01-0544,8°,S 7644,Synergistischer Streit,Eisleben,1566
01-0831,8°,S 7565,Synergistischer Streit,Eisleben,1560
01-0838,8°,M 4757,Synergistischer Streit,Eisleben,1564
01-1166,8°,M 4756,Synergistischer Streit,Eisleben,1564
01-1740,4°,M 5862,Synergistischer Streit,Eisleben,1566
01-0842,4°,C 2436,Abendmahlslehre und Christologie,Emden,1560
01-1017,8°,M 5168,Abendmahlslehre und Christologie,Emden,1557
01-0231,8°,G 245,Abendmahlslehre und Christologie,Erfurt,1578
01-0466,8°,G 243,Abendmahlslehre und Christologie,Erfurt,1578
01-0841,8°,ZV 11289,Abendmahlslehre und Christologie,Erfurt,1560
01-1048,8°,M 5900,Abendmahlslehre und Christologie,Erfurt,1561
01-0751,4°,F 1270,Adiaphoristischer/Majoristischer Streit,Erfurt,1558
01-0463,8°,S 8646,allgemeiner Druck,Erfurt,1577
01-0486,8°,W 2713,allgemeiner Druck,Erfurt,1580
01-0456,8°,W 2789,Antinomistischer Streit,Erfurt,1577
01-0623,8°,L 3504,Antinomistischer Streit,Erfurt,1562
01-1183,8°,M 7139,Antinomistischer Streit,Erfurt,1562
01-1442,8°,P 4610,Antinomistischer Streit,Erfurt,1562
01-1502,8°,L 3517,Antinomistischer Streit,Erfurt,1569
01-2040,8°,M 7220,Antinomistischer Streit,Erfurt,1563
01-0490,4°,W 2771,Erbsündenstreit,Erfurt,1563
01-1465,4°,S 1127,obrigkeitliche Dokumente,Erfurt,1568
01-1425,4°,M 4591,Osiandrischer Streit,Erfurt,1552
01-1444,4°,in: ZV 10866,Osiandrischer Streit,Erfurt,1552
01-1445,k. A.,in: ZV 10866,Osiandrischer Streit,Erfurt,1552
01-1446,4°,ZV 10866,Osiandrischer Streit,Erfurt,1552
01-1522,4°,ZV 10866,Osiandrischer Streit,Erfurt,1552
01-0096,8°,S 7653,Prädestinatianischer Streit,Erfurt,1567
01-2042,8°,S 7567,Synergistischer Streit,Erfurt,1561
01-1254,4°,A 263,Widerstand gegen das Augsburger Interim,Erfurt,1548
01-1268,4°,M 434,Widerstand gegen das Augsburger Interim,Erfurt,1548
01-1280,4°,A 264,Widerstand gegen das Augsburger Interim,Erfurt,1548
01-1868,4°,N 185,Widerstand gegen das Augsburger Interim / Antikatholisch,Erfurt,1553
01-0742,4°,S 5149,Wormser Gespräch,Erfurt,1557
01-1464,4°,B 7938,Abendmahlslehre und Christologie,Frankfurt,1564
01-2014,8°,F 1397,Abendmahlslehre und Christologie,Frankfurt,1567
01-1783,2°,W 1816,Adiaphoristischer Streit,Frankfurt,1557
01-1552,4°,S 5138,Wormser Gespräch,Frankfurt,1557
01-1477,4°,C 3968,Antikatholisch,Frankfurt a.M.,1548
01-1624,4°,M 7147,Abendmahlslehre und Christologie,Frankfurt an der Oder,1574
01-0013,4°,K 2647,Abendmahlslehre und Christologie,Frankfurt a.M.,1571
01-0186,8°,G 677,Abendmahlslehre und Christologie,Frankfurt a.M.,1575
01-0211,4°,S 9860,Abendmahlslehre und Christologie,Frankfurt a.M.,1576
01-0224,8°,A 2655,Abendmahlslehre und Christologie,Frankfurt a.M.,1577
01-0284,8°,F 1396,Abendmahlslehre und Christologie,Frankfurt a.M.,1566
01-0313,8°,W 2742,Abendmahlslehre und Christologie,Frankfurt a.M.,1569
01-0447,8°,S 9640,Abendmahlslehre und Christologie,Frankfurt a.M.,1576
01-0459,8°,S 3316,Abendmahlslehre und Christologie,Frankfurt a.M.,1577
01-0525,4°,B 7940,Abendmahlslehre und Christologie,Frankfurt a.M.,1564
01-0556,8°,C 6577,Abendmahlslehre und Christologie,Frankfurt a.M.,1555
01-0935,8°,W 2260,Abendmahlslehre und Christologie,Frankfurt a.M.,1555
01-0939,4°,B 7783,Abendmahlslehre und Christologie,Frankfurt a.M.,1562
01-1049,8°,W 2737,Abendmahlslehre und Christologie,Frankfurt a.M.,1561
01-1055,4°,S 2493,Abendmahlslehre und Christologie,Frankfurt a.M.,1565
01-1092,8°,T 1313,Abendmahlslehre und Christologie,Frankfurt a.M.,1555
01-1143,8°,A 2656,Abendmahlslehre und Christologie,Frankfurt a.M.,1559
01-1168,8°,A 2657,Abendmahlslehre und Christologie,Frankfurt a.M.,1561
01-1213,4°,B 7784,Abendmahlslehre und Christologie,Frankfurt a.M.,1563
01-1215,4°,B 7841,Abendmahlslehre und Christologie,Frankfurt a.M.,1563
01-1566,8°,S 5510,Abendmahlslehre und Christologie,Frankfurt a.M.,1576
01-1574,8°,B 7925,Abendmahlslehre und Christologie,Frankfurt a.M.,1556
01-1884,8°,L 4279,Abendmahlslehre und Christologie,Frankfurt a.M.,1554
01-0812,8°,A 4169,Adiaphoristischer Streit,Frankfurt a.M.,1555
01-0896,8°,W 2808,Adiaphoristischer Streit,Frankfurt a.M.,1552
01-1157,8°,W 2809,Adiaphoristischer Streit?,Frankfurt a.M.,1560
01-0933,8°,A 369,Aepinscher Streit,Frankfurt a.M.,1556
01-1086,8°,A 366,Aepinscher Streit,Frankfurt a.M.,1553
01-1089,8°,A 369 I,Aepinscher Streit,Frankfurt a.M.,1555
01-1825,8°,A 375,Aepinscher Streit,Frankfurt a.M.,1544
01-0289,8°,W 2722,Allgemeiner Druck,Frankfurt a.M.,1566
01-0369,8°,S 5448,allgemeiner Druck,Frankfurt a.M.,1571
01-0397,8°,ZV 14334,allgemeiner Druck,Frankfurt a.M.,1573
01-0398,8°,ZV 14334,allgemeiner Druck,Frankfurt a.M.,1573
01-0479,8°,W 2803,Allgemeiner Druck,Frankfurt a.M.,1559
01-1124,8°,A 2493,allgemeiner Druck,Frankfurt a.M.,1558
01-1562,8°,M 5035,Allgemeiner Druck,Frankfurt a.M.,1569
01-1616,4°,W 2906,Allgemeiner Druck,Frankfurt a.M.,1564
01-1909,8°,H 3037,Allgemeiner Druck / Obrigkeitliche Dokumente,Frankfurt a.M.,1575
01-1127,4°,D 264,Allgemeiner Druck / Wormser Gespräch,Frankfurt a.M.,1558
01-1128,4°,D 262,Allgemeiner Druck / Wormser Gespräch,Frankfurt a.M.,1558
01-0589,8°,S 7729,Antikatholisch,Frankfurt a.M.,1562
01-1375,4°,T 684,Antikatholisch,Frankfurt a.M.,1552
01-0533,4°,W 2894,Antinomistischer Streit,Frankfurt a.M.,1564
01-0288,8°,W 2752,Antitrinitarischer Streit,Frankfurt a.M.,1566
01-0233,4°,H 3014,Diskussion FC,Frankfurt a.M.,1578
01-0252,4°,E 3723,Diskussion FC,Frankfurt a.M.,1578
01-1054,8°,W 2769,Erbsündenstreit,Frankfurt a.M.,1562
01-0300,8°,W 2723,Majoristischer Streit,Frankfurt a.M.,1568
01-0875,8°,A 377,Majoristischer Streit,Frankfurt a.M.,1557
01-1029,8°,A 376,Majoristischer Streit / Osiandrischer Streit,Frankfurt a.M.,1551
01-0134,2°,M 2897,Obrigkeitliche Dokumente,Frankfurt a.M.,1569
01-0903,2°,W 4476,Obrigkeitliche Dokumente,Frankfurt a.M.,1561
01-0904,2°,W 4476,Obrigkeitliche Dokumente,Frankfurt a.M.,1561
01-1173,4°,K 474,obrigkeitliche Dokumente,Frankfurt a.M.,1561
01-1079,8°,F 1516,Osiandrischer Streit,Frankfurt a.M.,1552
01-1240,8°,S 5522,prädestinatianischer Streit,Frankfurt a.M.,1565
01-0642,8°,S 7726,Synergistischer Streit,Frankfurt a.M.,1562
01-1109,8°,A 377,Synergistischer Streit,Frankfurt a.M.,1557
01-1738,8°,P 2356,Synergistischer Streit,Frankfurt a.M.,1558
01-1024,8°,M 3836,Widerstand gegen das Augsburger Interim,Frankfurt a.M.,1547
01-1886,8°,W 2300,Widerstand gegen das Augsburger Interim,Frankfurt a.M.,1553
01-0732,4°,S 5144,Wormser Gespräch,Frankfurt a.M.,1557
01-1678,4°,R 2295,allgemeiner Druck,Frankfurt a.M.,1564
01-1724,4°,B 7474,Antikatholisch,Frankfurt a.M.,1557
01-1208,8°,P 4604,Antinomistischer Streit,Frankfurt a.M.,1562
01-1677,4°,W 2720,Magdeburger Streit,Frankfurt a.M.,1564
01-1679,4°,W 2736,Magdeburger Streit,Frankfurt a.M.,1564
01-0400,4°,M 7148,Abendmahlslehre und Christologie,Frankfurt an der Oder,1574
01-0433,4°,M 7207,Abendmahlslehre und Christologie,Frankfurt an der Oder,1575
01-0667,4°,L 3478,Abendmahlslehre und Christologie,Frankfurt an der Oder,1553
01-1204,8°,P 4598,Abendmahlslehre und Christologie,Frankfurt an der Oder,1562
01-1741,4°,ZV 11301,Abendmahlslehre und Christologie,Frankfurt an der Oder,1573
01-1111,4°,M 7208,Abendmahlslehre und Christologie / Osiandrischer Streit / Allgemeiner Druck,Frankfurt an der Oder,1558
01-1363,8°,P 2357,Adiaphoristischer Streit,Frankfurt an der Oder,1550
01-0124,8°,M 7252,Antinomistischer Streit,Frankfurt an der Oder,1568
01-0899,8°,P 4609,Antinomistischer Streit,Frankfurt an der Oder,1561
01-1052,8°,P 4593,Antinomistischer Streit,Frankfurt an der Oder,1562
01-1169,8°,P 4608,Antinomistischer Streit,Frankfurt an der Oder,1561
01-1220,8°,M 7199,Antinomistischer Streit,Frankfurt an der Oder,1563
01-1509,4°,M 7119,Antinomistischer Streit,Frankfurt an der Oder,1564
01-1510,8°,vacat,Antinomistischer Streit,Frankfurt an der Oder,1564
01-0422,4°,S 9134,Erbsündenstreit,Frankfurt an der Oder,1575
01-1784,4°,ZV 23636,Erbsündenstreit,Frankfurt an der Oder,1576
01-0588,8°,P 4630,Majoristischer Streit,Frankfurt an der Oder,1562
01-0916,4°,D 950,Obrigkeitliche Dokumente,Frankfurt an der Oder,1548
01-0917,8°,D 969?,Obrigkeitliche Dokumente,Frankfurt an der Oder,1548
01-1272,4°,D 943,obrigkeitliche Dokumente,Frankfurt an der Oder,1548
01-1385,4°,M 7154,Osiandrischer Streit,Frankfurt an der Oder,1552
01-1427,4°,L 5701,Osiandrischer Streit,Frankfurt an der Oder,1552
01-1794,8°,M 7117,Osiandrischer Streit,Frankfurt an der Oder,1552
01-1077,8°,S 8543,Stancaristischer Streit,Frankfurt an der Oder,1552
01-0898,8°,P 4603,Synergistischer Streit,Frankfurt an der Oder,1561
01-1097,8°,ZV 11287,Synergistischer Streit,Frankfurt an der Oder,1555
01-1511,4°,M 7200,Synergistischer Streit,Frankfurt an der Oder,1576
01-1536,8°,L 567,Synergistischer Streit,Frankfurt an der Oder,1568
01-1192,8°,P 4621,Synergistischer Streit?,Frankfurt an der Oder,1561
01-0208,4°,C 2683,Abendmahlslehre und Christologie,Frankfurt an der Oder,1576
01-1433,8°,D 260,Allgemeiner Druck,Frankfurt a.M.,1560
01-1923,4°,B 7702,Allgemeiner Druck,Frankfurt a.M.,1555
01-1543,8°,W 3617,Majoristischer Streit,Frankfurt a.M.,1556
01-2020,4°,W 2469,Osiandrischer Streit,Frankfurt an der Oder,1552
01-1174,4°,K 1246,Abendmahlslehre und Christologie,Freiburg,1561
01-0278,8°,--,Abendmahlslehre und Christologie,Genf,1566
01-0297,8°,--,Abendmahlslehre und Christologie,Genf,1567
01-0342,4°,--,Abendmahlslehre und Christologie,Genf,1571
01-0344,8°,--,Abendmahlslehre und Christologie,Genf,1571
01-0367,8°,--,Abendmahlslehre und Christologie,Genf,1571
01-0404,8°,--,Abendmahlslehre und Christologie,Genf,1573
01-0407,4°,C 6382,Abendmahlslehre und Christologie,Genf,1574
01-0418,8°,--,Abendmahlslehre und Christologie,Genf,1574
01-0432,4°,--,Abendmahlslehre und Christologie,Genf,1575
01-0474,k. A.,H 2263,Abendmahlslehre und Christologie,Genf,1579
01-0475,8°,--,Abendmahlslehre und Christologie,Genf,1579
01-0485,8°,--,Abendmahlslehre und Christologie,Genf,1579
01-1046,8°,--,Abendmahlslehre und Christologie,Genf,1557
01-1059,8°,--,Abendmahlslehre und Christologie,Genf,1565
01-1107,k. A.,--,Abendmahlslehre und Christologie,Genf,1556
01-1188,k. A.,--,Abendmahlslehre und Christologie,Genf,1561
01-1202,4°,--,Abendmahlslehre und Christologie,Genf,1562
01-1822,8°,--,Abendmahlslehre und Christologie,Genf,1572
01-1834,4°,ZV 4203,Abendmahlslehre und Christologie,Genf,1574
01-1904,2°,-,Abendmahlslehre und Christologie,Genf,1565
01-1905,8°,-,Abendmahlslehre und Christologie,Genf,1567
01-1187,8°,--,Abendmahlslehre und Christologie und stancaristischer Streit,Genf,1561
01-0472,k. A.,--,allgemeiner Druck,Genf,1579
01-1141,8°,--,Antikatholisch,Genf,1559
01-1000,k. A.,--,Christologie,Genf,1578
01-0262,4°,--,Diskussion FC,Genf,1579
01-1040,8°,--,Prädestinatianischer Streit,Genf,1557
01-0878,8°,--,Widerstand gegen das Augsburger Interim,Genf,1550
01-1939,8°,--,Widerstand gegen das Interim,Genf,1549
01-2055,8°,H 1334,Antinomistischer Streit,Görlitz,1577
01-1645,4°,S 5052,Schwenckfeld,Hagenau,1551
01-2011,4°,I 164,Schwenckfeld,Hagenau,1550
01-2012,4°,C 5725,Schwenckfeld,Hagenau,1550
01-2013,4°,C 5738,Schwenckfeld,Hagenau,1550
01-0198,4°,A 41,Erbsündenstreit,Halle,1576
01-0207,4°,C 2342,Erbsündenstreit,Halle,1577
01-1556,4°,M 4741,Erbsündenstreit,Halle,1577
01-0138,8°,G 2279,Abendmahlslehre und Christologie,Hamburg,1569
01-0722,8°,B 6442,Abendmahlslehre und Christologie,Hamburg,1557
01-0744,8°,P 4745,Abendmahlslehre und Christologie,Hamburg,1557
01-0782,8°,M 170,Abendmahlslehre und Christologie,Hamburg,1558
01-1042,8°,W 2271,Abendmahlslehre und Christologie,Hamburg,1557
01-1434,8°,E 909,Abendmahlslehre und Christologie,Hamburg,1582
01-1664,8°,E 907,Abendmahlslehre und Christologie,Hamburg,1567
